                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.97847,                 4.9114,                0.92412,                0.01153,                0.02889,                0.00648,                  0.005,                0.66997,                 4.7086,                0.79225,             6.9873e-05,             6.9873e-05,             6.9873e-05
                      2,                0.56236,                 4.1228,                0.81333,                0.02777,                0.25533,                0.04317,                0.04032,                0.46387,                 3.6223,                0.79209,             0.00012693,             0.00012693,             0.00012693
                      3,                 0.4681,                 3.5352,                 0.8026,                0.06984,                 0.3865,                 0.0986,                0.09319,                0.41363,                 3.1581,                0.79376,             0.00016992,             0.00016992,             0.00016992
                      4,                0.42531,                  3.041,                0.79917,                0.27639,                0.27081,                 0.1921,                 0.1851,                0.36686,                 2.8161,                0.79078,             0.00014974,             0.00014974,             0.00014974
                      5,                0.39698,                 2.6201,                0.79359,                0.31374,                0.36004,                0.30287,                0.28829,                0.36623,                 2.4609,                0.78498,             0.00014974,             0.00014974,             0.00014974
                      6,                0.36002,                 2.2763,                0.79347,                0.37587,                0.44448,                0.39952,                0.38583,                0.32327,                 2.1805,                0.78321,             0.00012865,             0.00012865,             0.00012865
                      7,                 0.3488,                 2.0386,                 0.7906,                0.42798,                0.49854,                0.46965,                0.45296,                0.30511,                 1.9568,                0.77975,             0.00010757,             0.00010757,             0.00010757
                      8,                0.32883,                 1.8454,                0.78916,                0.49148,                0.51407,                0.51656,                0.49942,                0.29536,                 1.8404,                0.77832,             8.6478e-05,             8.6478e-05,             8.6478e-05
                      9,                0.31228,                 1.7162,                0.78895,                0.52066,                0.54585,                0.54786,                0.53253,                 0.2777,                 1.7359,                0.77831,             6.5391e-05,             6.5391e-05,             6.5391e-05
                     10,                0.29842,                  1.618,                0.78824,                 0.5397,                0.55196,                 0.5628,                0.54788,                0.26428,                  1.657,                0.77625,             4.4304e-05,             4.4304e-05,             4.4304e-05
