                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.85635,                 4.6435,                0.89064,                0.03879,                0.25582,                0.04299,                0.03964,                0.48246,                 3.7577,                0.79026,             6.8779e-05,             6.8779e-05,             6.8779e-05
                      2,                0.47061,                 3.3454,                0.80147,                0.29731,                0.34472,                0.24178,                0.22636,                0.37256,                 2.6985,                0.78377,             0.00012444,             0.00012444,             0.00012444
                      3,                 0.3848,                 2.3363,                0.79358,                0.48876,                0.51472,                0.50767,                0.48454,                0.32383,                 1.8859,                0.77797,             0.00016637,             0.00016637,             0.00016637
                      4,                0.34013,                 1.7479,                0.78999,                0.59874,                0.62926,                0.63768,                0.61678,                 0.2792,                 1.5186,                0.77404,             0.00014622,             0.00014622,             0.00014622
                      5,                0.31038,                 1.4079,                0.78759,                 0.6909,                0.67503,                 0.7246,                 0.7057,                0.25615,                 1.2558,                0.77023,             0.00014622,             0.00014622,             0.00014622
                      6,                0.28989,                 1.2225,                0.78341,                0.71797,                0.71087,                0.76465,                0.74864,                0.23799,                 1.1222,                0.76762,             0.00012563,             0.00012563,             0.00012563
                      7,                0.27095,                 1.0888,                0.78381,                0.75633,                0.73771,                0.80113,                0.78644,                0.22736,                 1.0058,                0.76686,             0.00010504,             0.00010504,             0.00010504
                      8,                0.26121,                 1.0187,                0.78146,                0.78744,                0.74149,                0.81945,                 0.8037,                0.22412,                0.95882,                0.76472,             8.4448e-05,             8.4448e-05,             8.4448e-05
                      9,                0.25015,                0.94836,                  0.779,                0.79708,                0.76269,                0.83483,                0.82153,                 0.2131,                0.90753,                0.76497,             6.3856e-05,             6.3856e-05,             6.3856e-05
                     10,                0.24275,                0.90589,                0.77928,                0.81401,                0.76827,                0.84544,                0.83328,                  0.204,                0.88171,                0.76424,             4.3264e-05,             4.3264e-05,             4.3264e-05
