image_name,label,class_id,score,box_coord
image_0001.jpg,water_jug,40,0.99,"[[705.3363037109375, 2600.48583984375, 187.9940185546875, 146.923583984375]]"
image_0001.jpg,star,31,0.95,"[[325.2462158203125, 2602.012939453125, 186.90505981445312, 148.7158203125]]"
image_0001.jpg,water_glass,39,0.92,"[[2215.73388671875, 1654.97412109375, 192.579345703125, 150.260986328125]]"
image_0001.jpg,water_glass,39,0.87,"[[704.1854248046875, 1654.28955078125, 192.420166015625, 149.3988037109375]]"
image_0001.jpg,tree,36,0.87,"[[2218.0205078125, 2221.1572265625, 189.791259765625, 148.444091796875]]"
image_0001.jpg,namaste,20,0.84,"[[704.1220092773438, 1842.928955078125, 192.474609375, 149.4849853515625]]"
image_0001.jpg,roaster,28,0.82,"[[1081.7374267578125, 2409.87109375, 190.604736328125, 147.753662109375]]"
image_0001.jpg,turtle,37,0.79,"[[1458.689453125, 2032.875732421875, 187.2562255859375, 146.91015625]]"
image_0001.jpg,water_glass,39,0.75,"[[1460.6484375, 1654.233642578125, 183.2288818359375, 146.63671875]]"
image_0001.jpg,roaster,28,0.74,"[[703.8648071289062, 2410.70166015625, 190.5718994140625, 151.106201171875]]"
image_0001.jpg,stick,32,0.74,"[[1081.737548828125, 2597.55029296875, 188.62677001953125, 150.682861328125]]"
image_0001.jpg,roaster,28,0.73,"[[1084.1402587890625, 2787.25341796875, 190.91339111328125, 150.248291015625]]"
image_0001.jpg,stick,32,0.73,"[[1458.5391845703125, 2600.5751953125, 190.671875, 148.983642578125]]"
image_0001.jpg,stamp,30,0.69,"[[1910.91845703125, 2410.584228515625, 151.62353515625, 147.017578125]]"
image_0001.jpg,wooden_wheel,42,0.62,"[[704.7664794921875, 2787.8173828125, 191.51531982421875, 147.137939453125]]"
image_0001.jpg,lock,16,0.57,"[[1835.76123046875, 2031.7657470703125, 182.8734130859375, 147.114501953125]]"
image_0001.jpg,nepali_small_basket,25,0.55,"[[328.0477294921875, 2032.24267578125, 189.14102172851562, 148.8907470703125]]"
image_0001.jpg,sheep,29,0.54,"[[2216.69091796875, 2410.259765625, 191.156494140625, 150.871337890625]]"
image_0001.jpg,roaster,28,0.52,"[[1836.6201171875, 1655.05908203125, 188.0106201171875, 148.913818359375]]"
image_0001.jpg,lock,16,0.51,"[[1081.5771484375, 2221.904052734375, 192.31256103515625, 147.263671875]]"
image_0001.jpg,mother_and_child,19,0.48,"[[1836.510009765625, 1843.477783203125, 190.3675537109375, 146.0684814453125]]"
image_0001.jpg,hammer_scythe,9,0.47,"[[1081.4378662109375, 2221.089111328125, 191.55133056640625, 146.798828125]]"
image_0001.jpg,farmer,8,0.47,"[[2217.876953125, 2033.4556884765625, 196.09912109375, 151.691162109375]]"
image_0001.jpg,tiger,34,0.44,"[[2213.890625, 2786.98876953125, 186.307861328125, 151.2509765625]]"
image_0001.jpg,water_jug,40,0.43,"[[1836.495361328125, 1653.935302734375, 190.2379150390625, 150.443359375]]"
image_0001.jpg,nepali_jug,23,0.41,"[[1453.29296875, 2222.500732421875, 175.6339111328125, 147.97119140625]]"
image_0001.jpg,wooden_wheel,42,0.37,"[[1836.6226806640625, 2787.68994140625, 191.47412109375, 151.5859375]]"
image_0001.jpg,hoe,12,0.35,"[[1081.33154296875, 2031.40380859375, 190.5147705078125, 149.5400390625]]"
image_0001.jpg,damphu,6,0.34,"[[1460.1129150390625, 1843.140625, 183.290771484375, 147.62158203125]]"
image_0001.jpg,stamp,30,0.34,"[[1457.783447265625, 2412.158935546875, 192.9847412109375, 147.86767578125]]"
image_0001.jpg,key,14,0.34,"[[1838.01025390625, 2221.42431640625, 192.0587158203125, 147.66748046875]]"
image_0001.jpg,heart,11,0.34,"[[1082.4639892578125, 1654.882568359375, 183.90655517578125, 147.6912841796875]]"
image_0001.jpg,conch,4,0.32,"[[1836.681640625, 2787.861572265625, 190.849853515625, 151.66943359375]]"
image_0001.jpg,conch,4,0.31,"[[328.38458251953125, 1654.575927734375, 192.2821502685547, 149.7835693359375]]"
image_0001.jpg,conch,4,0.3,"[[2216.41064453125, 2599.734130859375, 190.468505859375, 146.8115234375]]"
image_0001.jpg,ladder,15,0.29,"[[2213.594482421875, 1842.529052734375, 184.68115234375, 149.4814453125]]"
image_0001.jpg,farmer,8,0.28,"[[1456.507080078125, 2788.18017578125, 187.5623779296875, 149.8076171875]]"
image_0002.jpg,lotus,17,0.98,"[[1083.4072265625, 1653.841064453125, 197.677001953125, 147.421875]]"
image_0002.jpg,woman_man,41,0.97,"[[1837.542724609375, 2788.110107421875, 193.2347412109375, 149.24267578125]]"
image_0002.jpg,namaste,20,0.97,"[[1079.7816162109375, 1845.448974609375, 190.37335205078125, 148.80810546875]]"
image_0002.jpg,cycle,5,0.97,"[[1836.486572265625, 2409.16357421875, 190.4888916015625, 149.091796875]]"
image_0002.jpg,woman_man,41,0.96,"[[703.42236328125, 2786.040771484375, 186.31744384765625, 148.52978515625]]"
image_0002.jpg,key,14,0.96,"[[328.37017822265625, 2222.58642578125, 191.43785095214844, 148.395751953125]]"
image_0002.jpg,tree,36,0.94,"[[326.5287170410156, 2788.8564453125, 191.0160369873047, 148.8125]]"
image_0002.jpg,nepali_small_basket,25,0.91,"[[1459.397216796875, 1654.9677734375, 192.4525146484375, 147.97216796875]]"
image_0002.jpg,namaste,20,0.89,"[[1835.5205078125, 2599.11474609375, 191.0565185546875, 145.57470703125]]"
image_0002.jpg,roaster,28,0.88,"[[323.40093994140625, 1654.164306640625, 188.63343811035156, 150.641845703125]]"
image_0002.jpg,wooden_wheel,42,0.86,"[[703.7760009765625, 1843.075927734375, 190.63861083984375, 148.7891845703125]]"
image_0002.jpg,nepali_cap,22,0.81,"[[1462.6224365234375, 2599.43994140625, 195.31298828125, 149.242431640625]]"
image_0002.jpg,tiger,34,0.79,"[[704.573974609375, 2411.0869140625, 187.95758056640625, 149.139404296875]]"
image_0002.jpg,stick,32,0.78,"[[1461.201904296875, 2032.1956787109375, 191.2603759765625, 148.718505859375]]"
image_0002.jpg,damphu,6,0.75,"[[1079.1923828125, 2787.252197265625, 186.71771240234375, 146.07177734375]]"
image_0002.jpg,nepali_cap,22,0.7,"[[1457.3006591796875, 2788.46533203125, 184.49365234375, 145.307373046875]]"
image_0002.jpg,stick,32,0.7,"[[1460.354736328125, 1843.8486328125, 192.822998046875, 151.6395263671875]]"
image_0002.jpg,sheep,29,0.68,"[[1838.2979736328125, 2030.956298828125, 198.541748046875, 149.37841796875]]"
image_0002.jpg,nepali_jug,23,0.62,"[[704.3746337890625, 1654.7481689453125, 184.4661865234375, 148.38525390625]]"
image_0002.jpg,water_jug,40,0.62,"[[326.22900390625, 1843.965087890625, 192.8647003173828, 149.202880859375]]"
image_0002.jpg,tiger,34,0.62,"[[1082.2843017578125, 2599.76953125, 192.54718017578125, 148.50244140625]]"
image_0002.jpg,water_glass,39,0.62,"[[1082.737548828125, 2412.58837890625, 193.01385498046875, 150.022705078125]]"
image_0002.jpg,wooden_wheel,42,0.6,"[[327.5926513671875, 2031.49365234375, 187.45101928710938, 145.8583984375]]"
image_0002.jpg,ladder,15,0.59,"[[1838.21044921875, 1844.146240234375, 196.9794921875, 148.2020263671875]]"
image_0002.jpg,bus,1,0.56,"[[2215.687255859375, 2030.10302734375, 186.62548828125, 149.3629150390625]]"
image_0002.jpg,nepali_madal,24,0.55,"[[2216.029296875, 1657.1903076171875, 187.393798828125, 149.411865234375]]"
image_0002.jpg,key,14,0.54,"[[327.38677978515625, 2600.2001953125, 190.4230499267578, 148.00830078125]]"
image_0002.jpg,sun,33,0.52,"[[1083.484130859375, 2031.225830078125, 193.36962890625, 145.87451171875]]"
image_0002.jpg,farmer,8,0.5,"[[703.8707275390625, 2031.29248046875, 189.225341796875, 149.8157958984375]]"
image_0002.jpg,house,13,0.47,"[[2212.244873046875, 1841.86181640625, 184.83544921875, 148.7218017578125]]"
image_0002.jpg,tiger,34,0.42,"[[1838.289794921875, 2030.700927734375, 197.2698974609375, 148.9923095703125]]"
image_0002.jpg,farmer,8,0.41,"[[2215.49951171875, 2222.23388671875, 190.587646484375, 148.289794921875]]"
image_0002.jpg,farmer,8,0.35,"[[1461.469970703125, 2410.229248046875, 194.4461669921875, 150.830078125]]"
image_0002.jpg,nepali_jug,23,0.31,"[[703.8075561523438, 2599.402099609375, 184.1849365234375, 147.25390625]]"
image_0002.jpg,conch,4,0.29,"[[1837.70947265625, 2789.162841796875, 192.6204833984375, 150.3994140625]]"
image_0002.jpg,torch_light,35,0.28,"[[702.5508422851562, 2221.51025390625, 190.7965087890625, 151.0595703125]]"
image_0002.jpg,sun,33,0.27,"[[703.5525512695312, 1843.54052734375, 189.6434326171875, 149.5833740234375]]"
image_0002.jpg,computer,3,0.25,"[[2216.506103515625, 2031.080810546875, 188.21728515625, 150.3505859375]]"
image_0003.jpg,heart,11,0.98,"[[2215.6171875, 2599.145263671875, 191.09228515625, 146.3125]]"
image_0003.jpg,woman_man,41,0.97,"[[1459.359130859375, 2221.897216796875, 184.9024658203125, 148.80712890625]]"
image_0003.jpg,namaste,20,0.97,"[[1836.3203125, 2410.032958984375, 191.851806640625, 146.48876953125]]"
image_0003.jpg,star,31,0.92,"[[324.6402893066406, 1654.245361328125, 194.37611389160156, 150.0670166015625]]"
image_0003.jpg,roaster,28,0.91,"[[705.5162963867188, 2410.2626953125, 190.5841064453125, 150.221923828125]]"
image_0003.jpg,key,14,0.78,"[[327.71734619140625, 2410.36669921875, 190.30511474609375, 150.558837890625]]"
image_0003.jpg,water_glass,39,0.77,"[[327.15570068359375, 2788.86376953125, 195.41046142578125, 150.49560546875]]"
image_0003.jpg,stick,32,0.73,"[[1081.123779296875, 1655.1759033203125, 188.17926025390625, 149.9970703125]]"
image_0003.jpg,woman_man,41,0.73,"[[1460.116455078125, 2786.49365234375, 189.140380859375, 148.849365234375]]"
image_0003.jpg,lock,16,0.72,"[[1462.955322265625, 1653.203857421875, 192.3607177734375, 146.3958740234375]]"
image_0003.jpg,farmer,8,0.71,"[[1082.364501953125, 2788.255859375, 190.417236328125, 149.363037109375]]"
image_0003.jpg,key,14,0.7,"[[2217.384765625, 1654.0731201171875, 189.961181640625, 149.9326171875]]"
image_0003.jpg,balance,0,0.65,"[[1457.552978515625, 2410.93701171875, 187.66552734375, 147.177734375]]"
image_0003.jpg,umbrella,38,0.59,"[[1838.1143798828125, 2222.44775390625, 189.454833984375, 148.462158203125]]"
image_0003.jpg,stamp,30,0.55,"[[1508.34912109375, 1840.625244140625, 165.3604736328125, 148.760498046875]]"
image_0003.jpg,star,31,0.54,"[[328.2651062011719, 2599.590087890625, 191.3292236328125, 146.298828125]]"
image_0003.jpg,computer,3,0.49,"[[326.7947692871094, 2221.1171875, 188.1827850341797, 147.749267578125]]"
image_0003.jpg,wooden_wheel,42,0.49,"[[1837.2529296875, 2031.58349609375, 191.0086669921875, 149.8277587890625]]"
image_0003.jpg,water_glass,39,0.44,"[[326.1669616699219, 2221.2353515625, 186.9425811767578, 148.878173828125]]"
image_0003.jpg,nepali_small_basket,25,0.44,"[[2217.7197265625, 2031.254638671875, 190.885986328125, 147.3150634765625]]"
image_0003.jpg,tree,36,0.36,"[[704.3692626953125, 1654.9903564453125, 191.07244873046875, 149.2431640625]]"
image_0003.jpg,tree,36,0.35,"[[702.4594116210938, 2221.318603515625, 189.5523681640625, 148.30908203125]]"
image_0003.jpg,wooden_wheel,42,0.34,"[[2217.166015625, 2032.20166015625, 188.413330078125, 146.6942138671875]]"
image_0003.jpg,umbrella,38,0.33,"[[702.5693969726562, 2032.662841796875, 191.67041015625, 147.361328125]]"
image_0003.jpg,nepali_madal,24,0.28,"[[2217.45703125, 2789.33349609375, 193.921142578125, 151.612060546875]]"
image_0003.jpg,nepali_big_basket,21,0.28,"[[702.2734375, 2599.26025390625, 192.852783203125, 150.972900390625]]"
image_0003.jpg,nepali_cap,22,0.27,"[[702.4658203125, 2600.15283203125, 188.3255615234375, 148.00244140625]]"
