image_name,label,class_id,score,box_coord
image_0001.jpg,umbrella,38,0.99,"[[1837.08544921875, 2410.42041015625, 192.1954345703125, 149.351806640625]]"
image_0001.jpg,cycle,5,0.99,"[[324.3194885253906, 1653.946044921875, 191.04042053222656, 149.703857421875]]"
image_0001.jpg,hammer_scythe,9,0.99,"[[2217.82080078125, 2788.7734375, 189.3544921875, 149.745849609375]]"
image_0001.jpg,sun,33,0.99,"[[1458.682861328125, 2221.71142578125, 189.8167724609375, 149.398193359375]]"
image_0001.jpg,conch,4,0.98,"[[2215.263671875, 2221.42626953125, 187.001953125, 147.703125]]"
image_0001.jpg,heart,11,0.96,"[[1457.5750732421875, 2408.9697265625, 185.9609375, 148.19677734375]]"
image_0001.jpg,nepali_small_basket,26,0.96,"[[1836.998779296875, 2221.7109375, 191.252197265625, 149.539794921875]]"
image_0001.jpg,key,15,0.95,"[[1837.137939453125, 2600.7431640625, 192.19921875, 148.481689453125]]"
image_0001.jpg,star,31,0.95,"[[328.8849182128906, 2033.061767578125, 192.5652618408203, 150.2742919921875]]"
image_0001.jpg,ladder,16,0.94,"[[703.951904296875, 1655.052490234375, 181.8355712890625, 148.7381591796875]]"
image_0001.jpg,damphu,6,0.94,"[[703.4114990234375, 2032.375732421875, 189.34027099609375, 148.5467529296875]]"
image_0001.jpg,wooden_wheel,43,0.93,"[[1458.47509765625, 2600.373046875, 185.43115234375, 147.682861328125]]"
image_0001.jpg,lock,17,0.93,"[[702.922119140625, 1843.726318359375, 188.94537353515625, 149.24267578125]]"
image_0001.jpg,bus,1,0.92,"[[1080.748046875, 1654.4619140625, 190.25823974609375, 148.575927734375]]"
image_0001.jpg,dog,7,0.91,"[[1462.261962890625, 2031.4365234375, 190.157470703125, 148.73779296875]]"
image_0001.jpg,water_glass,40,0.9,"[[1075.24072265625, 2410.744384765625, 180.4188232421875, 148.6494140625]]"
image_0001.jpg,balance,0,0.9,"[[1079.4857177734375, 2599.84814453125, 187.73712158203125, 148.786865234375]]"
image_0001.jpg,lotus,18,0.89,"[[2217.287109375, 1654.8828125, 194.473876953125, 150.418212890625]]"
image_0001.jpg,hand_palm,10,0.88,"[[328.910400390625, 2410.96875, 191.12887573242188, 148.719482421875]]"
image_0001.jpg,nepali_jug,24,0.88,"[[1837.017578125, 2788.44384765625, 192.5648193359375, 150.282470703125]]"
image_0001.jpg,mother_and_child,20,0.88,"[[1461.7344970703125, 1654.2762451171875, 191.571044921875, 149.19189453125]]"
image_0001.jpg,pen,28,0.84,"[[704.6148681640625, 2787.454345703125, 190.3199462890625, 151.626953125]]"
image_0001.jpg,water_jug,41,0.83,"[[1834.2021484375, 1843.6656494140625, 189.343505859375, 149.4287109375]]"
image_0001.jpg,sheep,30,0.81,"[[2216.283203125, 2030.671142578125, 190.9033203125, 149.2828369140625]]"
image_0001.jpg,torch_light,35,0.81,"[[1461.22216796875, 1844.1678466796875, 193.1478271484375, 150.94287109375]]"
image_0001.jpg,hoe,12,0.8,"[[2218.22021484375, 2410.53515625, 191.74755859375, 150.4619140625]]"
image_0001.jpg,namaste,21,0.79,"[[1080.1373291015625, 1843.241455078125, 194.192626953125, 149.4378662109375]]"
image_0001.jpg,nepali_big_basket,22,0.78,"[[1079.1512451171875, 2222.31884765625, 188.40185546875, 148.60009765625]]"
image_0001.jpg,turtle,37,0.76,"[[325.56634521484375, 2788.66845703125, 187.5970458984375, 149.407470703125]]"
image_0001.jpg,damphu,6,0.73,"[[327.1284484863281, 2598.98046875, 188.92726135253906, 147.673095703125]]"
